iter	MAE	RMSE
0	0.7418815215	0.8367527909
1	0.7266137871	0.8202612167
2	0.7106763662	0.8042769817
3	0.6972378516	0.7905384253
4	0.6818682335	0.7757074236
5	0.6675852695	0.7626352952
6	0.6556475861	0.7516084098
7	0.6444187736	0.7415350166
8	0.6340070202	0.732175603
9	0.6239252364	0.7236639111
10	0.6143527733	0.7153981928
11	0.606073087	0.7080383685
12	0.5983724069	0.7019289888
13	0.5910519406	0.6954931287
14	0.5859717432	0.6909265866
15	0.5803068411	0.6869076986
16	0.5749741384	0.6824807737
17	0.5683468636	0.6772517203
18	0.5631264547	0.6736190107
19	0.5575089695	0.6689502186
20	0.552642389	0.6652959908
21	0.548622948	0.6619202446
22	0.5442799449	0.6585417408
23	0.5413530213	0.6558837102
24	0.5381294722	0.653441022
25	0.5342338071	0.6506363181
26	0.5302486572	0.648068003
27	0.5264791256	0.6453683799
28	0.5231473906	0.6432748874
29	0.5200278001	0.6412309006
30	0.5171535421	0.6391193685
31	0.5147132254	0.6373837799
32	0.5118503293	0.6353165211
33	0.5098991221	0.6339370198
34	0.5072702698	0.6321981993
35	0.5054910308	0.6310816658
36	0.503273932	0.6297893861
37	0.5008931423	0.6282913462
38	0.4992088449	0.6267634299
39	0.4972151182	0.6257052031
40	0.4953354868	0.6241266537
41	0.4935159127	0.6226810301
42	0.491707824	0.6214947861
43	0.4901550295	0.6206427687
44	0.4884361894	0.6195480914
45	0.4866838364	0.6182023199
46	0.4850129928	0.6169677445
47	0.4836026347	0.6161120106
48	0.4818549197	0.6149879348
49	0.480716724	0.6142776199
50	0.4794655889	0.6134346361
51	0.4782107703	0.6126155256
52	0.4773873046	0.6118426099
53	0.4767131957	0.611217409
54	0.4755092234	0.6101523991
55	0.4749166165	0.6096327533
56	0.4734895971	0.6086409836
57	0.4727814064	0.6080643306
58	0.4716217432	0.6071613707
59	0.471216223	0.6067600979
60	0.4702388929	0.6060854084
61	0.4691353778	0.6051628588
62	0.4681258933	0.6043918129
63	0.4676741725	0.6039672468
64	0.4668949021	0.6033044609
65	0.4660495241	0.6025851573
66	0.4647930522	0.6016239475
67	0.4641907749	0.601320791
68	0.4636175321	0.6007462475
69	0.4632700063	0.600386372
70	0.4627118197	0.5998809483
71	0.4620923643	0.5991920264
72	0.4617311862	0.5988601164
73	0.4611069261	0.5985187903
74	0.4603629949	0.5978391475
75	0.460294852	0.5974964491
76	0.4595810206	0.5970728585
77	0.4589091612	0.5965380116
78	0.4582679287	0.5960872512
79	0.4571517251	0.5955163049
80	0.4569712952	0.5951770278
81	0.4568395899	0.5949990806
82	0.4562392773	0.5945772985
83	0.4558204288	0.5941856975
84	0.4550559885	0.5936565048
85	0.4539881069	0.5926518405
86	0.452960229	0.5919023185
87	0.4522921179	0.5914805608
88	0.4520073664	0.5911680244
89	0.4513657767	0.5906493585
90	0.4509188021	0.5903244523
91	0.4502931178	0.5897262033
92	0.4500838307	0.5893656071
93	0.4497508105	0.5891595793
94	0.449350008	0.5888907115
95	0.4484310917	0.5880727866
96	0.4477302754	0.5875960002
97	0.4475033698	0.5872738114
98	0.447077124	0.5870988446
99	0.446364538	0.5865885668
100	0.4459924891	0.586280226
101	0.4456905807	0.5858685039
102	0.4452308444	0.5855335651
103	0.4449505657	0.5852000423
104	0.4445935047	0.584783087
105	0.4445651258	0.5845681035
106	0.443862492	0.5839077803
107	0.4435853605	0.583592771
108	0.4430066886	0.5832213734
109	0.4426286815	0.5828925043
110	0.4423605891	0.5824901386
111	0.4418066413	0.5820290548
112	0.4415487114	0.5816686295
113	0.441338044	0.5814098931
114	0.4405121471	0.580631585
115	0.4402880353	0.5803128157
116	0.4400420052	0.5801064015
117	0.4398729153	0.5799326121
118	0.4396602789	0.5796319077
119	0.439322461	0.5792674435
120	0.4388381064	0.5789801321
121	0.4383184491	0.5786288878
122	0.4376352545	0.5781231383
123	0.4371369051	0.5776938991
124	0.4367491	0.5773726352
125	0.4360341044	0.5767392467
126	0.4354932647	0.576293167
127	0.4348617862	0.5758865678
128	0.4344361159	0.5755553878
129	0.4340617208	0.5753261527
130	0.4336942155	0.5748407375
131	0.4328637732	0.5742480112
132	0.43221179	0.5738012834
133	0.4318016622	0.5733023798
134	0.4314075048	0.5729786757
135	0.4304290385	0.5724121352
136	0.4298251722	0.5718501643
137	0.4292617284	0.5713994442
138	0.4290991164	0.5711806818
139	0.4287035575	0.5706788793
140	0.4283719496	0.5702593902
141	0.4282898988	0.5699613288
142	0.4279761641	0.5696666307
143	0.4275485744	0.5692669738
144	0.4271002774	0.5689928314
145	0.4269036365	0.5687612453
146	0.4265327456	0.5683106971
147	0.4265146661	0.5681231488
148	0.426134446	0.5676646066
149	0.4254945306	0.5671060085
150	0.4251609116	0.5668591114
151	0.4249153096	0.5664966551
152	0.4241226962	0.5659711987
153	0.4235435852	0.5654712948
154	0.4228091398	0.5650252478
155	0.4223957388	0.5646369031
156	0.4221924729	0.5642715924
157	0.4217969077	0.5640019391
158	0.4215796822	0.5637206072
159	0.4212965505	0.5634090511
160	0.4207010176	0.5630519132
161	0.4203969542	0.5626671657
162	0.4200103895	0.5623873462
163	0.4197414695	0.5621048122
164	0.4193021883	0.561676691
165	0.419177105	0.5615246979
166	0.4190163427	0.5612743114
167	0.4187857867	0.5610011626
168	0.4183107072	0.5605530842
169	0.4178952362	0.5602253558
170	0.4175632742	0.5598710988
171	0.4170747165	0.5595589662
172	0.4169540487	0.5592244779
173	0.416717806	0.55906886
174	0.416656335	0.5588441285
175	0.4164281467	0.5584183505
176	0.4163603906	0.5583271981
177	0.4159145289	0.5578096517
178	0.4156450024	0.5576229043
179	0.4155405073	0.5573985964
180	0.4154977833	0.5572632882
181	0.415134855	0.5569586274
182	0.4148740288	0.5567280984
183	0.4147824677	0.5565391214
184	0.4145902655	0.5563793594
185	0.4144674799	0.5561826786
186	0.4140828154	0.5558492963
187	0.4139311585	0.5556601571
188	0.4137917349	0.5552597206
189	0.4134130138	0.554951569
190	0.4132032446	0.5545955814
191	0.4126940124	0.5541146715
192	0.4121978677	0.5536619101
193	0.4117894365	0.5532025549
194	0.411567761	0.5529757641
195	0.4114337437	0.5527253574
196	0.4110877235	0.5524969588
197	0.4110160759	0.5524273505
198	0.4106712968	0.5522058565
199	0.4104455985	0.5519241253
200	0.4102618868	0.5517001266
201	0.4100884155	0.55157871
202	0.4097465245	0.5512933934
203	0.4094313875	0.5510342136
204	0.4093502762	0.5509301764
205	0.4092401921	0.5506149598
206	0.4091873236	0.5505153201
207	0.4090403977	0.5502819715
208	0.40874904	0.5500533515
209	0.4085245855	0.5496999828
210	0.4083549175	0.5494546734
211	0.4082200043	0.5492252974
212	0.4078760033	0.548926768
213	0.4077600652	0.5487577486
214	0.4076744166	0.5486854112
215	0.4075156424	0.5484710341
216	0.4072735784	0.548335613
217	0.4072589121	0.548314369
218	0.4068835079	0.5479887587
219	0.4068194832	0.5478827957
220	0.4065991997	0.5477622856
221	0.4063262824	0.5473970799
222	0.4060294403	0.5470932021
223	0.4059131403	0.546881938
224	0.4056743314	0.5466676251
225	0.4055132433	0.5464709486
226	0.4052048761	0.546194579
227	0.4051791456	0.5461179525
228	0.4051574947	0.5460835763
229	0.4048401654	0.5457676362
230	0.404711475	0.5455672496
231	0.4045701831	0.5453202785
232	0.4043519256	0.5450195156
233	0.4041924886	0.544763922
234	0.404125112	0.5446815354
235	0.4037194732	0.5443979216
236	0.4036057236	0.5440962908
237	0.4033931572	0.5439025702
238	0.4031912573	0.5435940392
239	0.4030587744	0.5434422146
240	0.4029861493	0.5433855648
241	0.4026207279	0.5429624458
242	0.4024327226	0.542644971
243	0.4022121912	0.5423379957
244	0.4017839757	0.5419966216
245	0.4016060445	0.5418679531
246	0.4013730541	0.5416208419
247	0.4012657448	0.5414326099
248	0.4011261422	0.5412017307
249	0.4008535142	0.5409494715
250	0.4007135132	0.5406481432
251	0.400486422	0.540530802
252	0.4004182412	0.540382176
253	0.400240656	0.5400835047
254	0.4001569803	0.5399421343
255	0.399753223	0.5396179719
256	0.3995948308	0.5395256515
257	0.3994425795	0.5393311713
258	0.3992406033	0.5391367676
259	0.3989419595	0.5388311762
260	0.3987414727	0.5385202772
261	0.3987211287	0.5384910232
262	0.3986336015	0.5382663136
263	0.3984291845	0.5380834948
264	0.3983967208	0.5379341954
265	0.3981598175	0.537650913
266	0.3979712186	0.5374271934
267	0.3978046198	0.5372279783
268	0.3975589175	0.5370137938
269	0.3975394855	0.5369867968
270	0.3972149285	0.5366687053
271	0.3970828908	0.5365145577
272	0.3968937598	0.5363012892
273	0.3968204226	0.5361569639
274	0.3966232997	0.5359937003
275	0.3964336233	0.5358736122
276	0.3963336453	0.5357263319
277	0.3962557775	0.5355794719
278	0.3961378607	0.5354016767
279	0.3959598239	0.5352056029
280	0.3958090109	0.5350044894
281	0.3957290498	0.5348728427
282	0.395671134	0.5348033239
283	0.3953984469	0.5345701921
284	0.3951884257	0.5343955825
285	0.3949388748	0.5341104081
286	0.3947945075	0.5338605693
287	0.3945920092	0.5336940148
288	0.3942212177	0.5334450349
289	0.3940467673	0.5331144133
290	0.3939126814	0.532816316
291	0.393719812	0.5325648707
292	0.3936334684	0.5323918088
293	0.3935493255	0.5322649742
294	0.3934587821	0.5320634523
295	0.3931771106	0.5318415859
296	0.3930364556	0.5316214313
297	0.3928940354	0.5313843929
298	0.392696087	0.5311638581
299	0.3925998434	0.5310959675
300	0.3924921747	0.5309268407
301	0.3922241572	0.5305533983
302	0.392146318	0.5304063361
303	0.3920494824	0.5302737842
304	0.3918297836	0.5301248887
305	0.3917000594	0.5299155452
306	0.3915679373	0.5297054623
307	0.3913193315	0.5294964669
308	0.3911078866	0.5293241423
309	0.390860643	0.5290502934
310	0.3907903786	0.5289731587
311	0.3907003985	0.5288989739
312	0.3905030504	0.5285734613
313	0.3903931031	0.5284148668
314	0.3901634944	0.5281024158
315	0.3900790509	0.5280433517
316	0.3899400356	0.527867447
317	0.3897279765	0.527692245
318	0.389569651	0.5275659338
319	0.3894230984	0.5274037283
320	0.3892577887	0.527262887
321	0.3891009962	0.5270876815
322	0.3890003733	0.5268543078
323	0.3889083546	0.5267068257
324	0.3886944316	0.5264481925
325	0.3885860812	0.5262572745
326	0.3885526191	0.5261385495
327	0.3884048338	0.52602439
328	0.3881853706	0.5257823435
329	0.3880514145	0.5256369196
330	0.3879397543	0.5253622352
331	0.3878244807	0.5252384826
332	0.3877368395	0.5250552189
333	0.387669784	0.5249340951
334	0.3874622756	0.5246614607
335	0.387370988	0.5244906837
336	0.387168591	0.5241667368
337	0.3869931497	0.5240984141
338	0.3868948001	0.5240012955
